snapshot,level4_guard_gain,gain_sign,core_low_norm_fulfill,predicted_low_demand,predicted_hm_util_mean,predicted_hm_util_max,predicted_hm_edges_ge_1,predicted_total_base_max,predicted_base_congestion_score,predicted_proxy_improvement,predicted_vs_actual_hm_mae,predicted_vs_actual_hm_max_error,high_tm_relative_l1_error,medium_tm_relative_l1_error,low_tm_relative_l1_error,toll_abs_mean,toll_abs_max,low_policy_tv,toll_vs_predicted_hm_spearman,toll_vs_actual_hm_spearman
300,0.05869126319885254,positive,1.096687912940979,9.022026062011719,0.754643440246582,2.8734259605407715,19.0,3.1944580078125,0.7365618944168091,-0.08293920755386353,0.2412177175283432,1.873425841331482,0.09673571586608887,0.09860842674970627,0.22089800238609314,0.45967090129852295,1.2144502401351929,0.1588912457227707,0.3370956331596888,0.3895619458125257
301,0.006853818893432617,positive,1.126379370689392,9.228269577026367,0.7512734532356262,2.86135196685791,19.0,3.20039439201355,0.7203313112258911,-0.08923923969268799,0.2375521957874298,1.861351490020752,0.09532433748245239,0.09446243941783905,0.2199234962463379,0.46025949716567993,1.214436411857605,0.15850302577018738,0.3375458228825005,0.3911537008430857
302,0.0006974935531616211,positive,1.1286197900772095,9.268117904663086,0.7518888115882874,2.879128932952881,19.0,3.217416286468506,0.7048815488815308,-0.07970654964447021,0.23681680858135223,1.8791289329528809,0.09818077832460403,0.09535554051399231,0.23839274048805237,0.4620908498764038,1.214720606803894,0.16059544682502747,0.34725705833172554,0.399813487038251
303,0.0010561943054199219,positive,1.0572525262832642,8.979354858398438,0.7541278004646301,2.8750569820404053,19.0,3.1937787532806396,0.7186292409896851,-0.06775099039077759,0.2381736934185028,1.8750568628311157,0.09696044772863388,0.10133074223995209,0.2599908411502838,0.4621421992778778,1.2146819829940796,0.15946395695209503,0.34301241237378616,0.41359905460734697
304,0.010928630828857422,positive,1.1578253507614136,9.181558609008789,0.7588708400726318,2.869382381439209,19.0,3.178481340408325,0.7597815990447998,-0.07510513067245483,0.25201451778411865,1.8693822622299194,0.12779225409030914,0.13522648811340332,0.2503116726875305,0.46276581287384033,1.2145915031433105,0.16089923679828644,0.3425943790597467,0.40221882793204483
305,0.0182950496673584,positive,1.0798888206481934,8.924938201904297,0.7505683898925781,2.917550563812256,19.0,3.240671157836914,0.7482295036315918,-0.06802630424499512,0.24608714878559113,1.9175503253936768,0.11897068470716476,0.1311558485031128,0.2822246253490448,0.4589175581932068,1.2155814170837402,0.15972009301185608,0.32860634124380994,0.36909125988809577
306,0.07561075687408447,positive,1.2181698083877563,9.218050003051758,0.7473278045654297,2.9154274463653564,19.0,3.2582614421844482,0.7463184595108032,-0.07600045204162598,0.24106638133525848,1.915427327156067,0.11669746786355972,0.11837560683488846,0.2085825651884079,0.45918238162994385,1.215452790260315,0.1604745090007782,0.3257122644543058,0.3696498056385985
307,0.021541714668273926,positive,1.017726182937622,9.464367866516113,0.7588112354278564,2.9243078231811523,20.0,3.242703914642334,0.7607535719871521,-0.07090294361114502,0.2456350326538086,1.9243075847625732,0.09263868629932404,0.09834294766187668,0.28196489810943604,0.46162426471710205,1.215484619140625,0.1608416736125946,0.32272171843848485,0.35494244002829767
308,0.0018925666809082031,positive,1.033145546913147,9.53016471862793,0.7554589509963989,2.873056650161743,19.0,3.203845262527466,0.7676609754562378,-0.08737552165985107,0.24511967599391937,1.8730566501617432,0.09043163806200027,0.08958728611469269,0.2752797305583954,0.4600358009338379,1.2146530151367188,0.1618778109550476,0.3240722876069201,0.37084974681214483
309,0.0008732080459594727,positive,1.0570178031921387,9.142822265625,0.7547782063484192,2.855947732925415,20.0,3.1966848373413086,0.7738536596298218,-0.09980088472366333,0.2402137964963913,1.855947494506836,0.11372153460979462,0.12274403125047684,0.25064611434936523,0.46090424060821533,1.2142102718353271,0.1617259532213211,0.32809183870345365,0.3862176524149853
310,0.028635144233703613,positive,1.064074158668518,9.274406433105469,0.7529469132423401,2.8169913291931152,21.0,3.138550043106079,0.7582905888557434,-0.09679216146469116,0.24056996405124664,1.8169913291931152,0.1155591830611229,0.11912649869918823,0.27226874232292175,0.46125590801239014,1.2134867906570435,0.16058963537216187,0.33021416168242335,0.3884940671526671
311,0.0021665096282958984,positive,1.015181064605713,9.056859016418457,0.7606721520423889,2.784876823425293,20.0,3.0928075313568115,0.7746045589447021,-0.0877881646156311,0.26584017276763916,1.784876823425293,0.13385966420173645,0.12453353404998779,0.23665104806423187,0.4628041684627533,1.2129374742507935,0.16097405552864075,0.33761013570004506,0.4011094139918741
312,0.0003368854522705078,positive,1.0132670402526855,8.773780822753906,0.7481428384780884,2.7824296951293945,19.0,3.096177577972412,0.7548081278800964,-0.09338623285293579,0.24823768436908722,1.7824296951293945,0.09975834935903549,0.0927123874425888,0.20207220315933228,0.46193116903305054,1.2127039432525635,0.16068772971630096,0.33863914078075763,0.3955365471383002
313,0.05418956279754639,positive,1.1133177280426025,9.10241413116455,0.7474036812782288,2.781782627105713,19.0,3.0999882221221924,0.7722136974334717,-0.09002286195755005,0.24964645504951477,1.7817823886871338,0.09670116752386093,0.11096993833780289,0.23654256761074066,0.46107208728790283,1.2127448320388794,0.16227924823760986,0.33921795613865846,0.39059409925460364
314,0.0065195560455322266,positive,1.0456950664520264,9.055599212646484,0.7519708275794983,2.782742500305176,19.0,3.1199162006378174,0.7652091979980469,-0.0955687165260315,0.25952717661857605,1.7827425003051758,0.11245892196893692,0.10923204571008682,0.29768824577331543,0.46334749460220337,1.2128938436508179,0.16230015456676483,0.34314103800887524,0.40919104182670846
315,0.0029832124710083008,positive,1.0023256540298462,8.856840133666992,0.7504979372024536,2.799077033996582,19.0,3.108792304992676,0.7343778610229492,-0.08673614263534546,0.24148252606391907,1.799076795578003,0.10312262177467346,0.09171358495950699,0.2611924409866333,0.46477678418159485,1.2132720947265625,0.16188836097717285,0.34835037622998266,0.39726346762705367
316,-0.0015064477920532227,negative,0.9921361804008484,8.595977783203125,0.7402978539466858,2.7953600883483887,19.0,3.0897576808929443,0.6771449446678162,-0.07639467716217041,0.2346639335155487,1.7953598499298096,0.0913722813129425,0.0886758416891098,0.2271849513053894,0.4628056287765503,1.2133527994155884,0.1619977056980133,0.33773876133513414,0.38417570404244866
317,-0.00010466575622558594,negative,1.013825535774231,8.608616828918457,0.7329345345497131,2.76265811920166,17.0,3.064474582672119,0.6779582500457764,-0.0874738097190857,0.23011912405490875,1.7626579999923706,0.09099002927541733,0.09468720853328705,0.20087464153766632,0.4625321924686432,1.2126209735870361,0.1634984016418457,0.3451990481703004,0.3949577131668784
318,0.007102251052856445,positive,1.0419365167617798,8.604547500610352,0.7207627892494202,2.6977343559265137,15.0,3.0084168910980225,0.6394242644309998,-0.08821374177932739,0.22338178753852844,1.6977343559265137,0.11109919100999832,0.11272117495536804,0.2538914680480957,0.4581722021102905,1.211314082145691,0.1628827154636383,0.34741784037558693,0.39277761254092985
319,0.0033649206161499023,positive,0.9921698570251465,8.455743789672852,0.7109225392341614,2.693922996520996,16.0,2.984900712966919,0.5966621041297913,-0.07561594247817993,0.21484807133674622,1.693922758102417,0.10184913128614426,0.10629848390817642,0.20507970452308655,0.45642566680908203,1.2113226652145386,0.16071727871894836,0.3340407743263233,0.37503014716641137
320,-0.0008294582366943359,negative,1.0146410465240479,8.470756530761719,0.6935395002365112,2.6678900718688965,14.0,2.9486453533172607,0.5606720447540283,-0.07123184204101562,0.20720170438289642,1.6678898334503174,0.12441159039735794,0.12931421399116516,0.2709519565105438,0.4532581865787506,1.210753083229065,0.1602810174226761,0.3332690205157888,0.36235740529022614
321,-0.0015980005264282227,negative,1.0058314800262451,8.418513298034668,0.69094318151474,2.7468042373657227,15.0,3.026607036590576,0.5766428709030151,-0.07720333337783813,0.20255562663078308,1.7468039989471436,0.10470302402973175,0.10011399537324905,0.19679738581180573,0.4532024562358856,1.2122926712036133,0.16137859225273132,0.3220142774454949,0.3671487487155484
322,0.008730530738830566,positive,1.0114526748657227,8.433414459228516,0.6919777393341064,2.6944494247436523,17.0,2.9861388206481934,0.584383487701416,-0.08374065160751343,0.20372343063354492,1.6944491863250732,0.11045420914888382,0.1148323193192482,0.2848230302333832,0.45530521869659424,1.2109946012496948,0.16194595396518707,0.3322721718438485,0.3711200971251276
