snapshot,class,admitted_traffic,demand,fulfill_ratio,oracle_admitted_traffic,norm_fulfill,raw_mlu,oracle_mlu,normalized_mlu,disabled_flow,admitted_capacity_ratio,method
300,High,40.81025314331055,43.287471771240234,0.9427728652954102,40.84786605834961,0.999079167842865,1.0,1.488415241241455,0.6718555092811584,0.0,1.0,native_hattrick
301,High,41.27510070800781,44.01470947265625,0.9377569556236267,41.3199348449707,0.9989149570465088,1.0000001192092896,1.540365219116211,0.6491967439651489,0.0,1.0000001192092896,native_hattrick
302,High,41.342708587646484,44.10446548461914,0.9373814463615417,41.37627029418945,0.9991888403892517,1.0,1.5306810140609741,0.6533039808273315,0.0,1.0,native_hattrick
303,High,40.828468322753906,43.59922790527344,0.9364493489265442,40.83292007446289,0.9998909831047058,1.0,1.5194594860076904,0.6581287980079651,0.0,1.0,native_hattrick
304,High,40.267601013183594,43.153900146484375,0.9331161379814148,40.31892013549805,0.9987271428108215,1.0,1.5741603374481201,0.6352593302726746,0.0,1.0,native_hattrick
305,High,41.703216552734375,44.440330505371094,0.9384092092514038,41.748897552490234,0.9989058375358582,1.000000238418579,1.5494719743728638,0.6453812718391418,0.0,1.000000238418579,native_hattrick
306,High,43.05997848510742,45.910301208496094,0.9379153847694397,43.10991668701172,0.9988415837287903,1.0000001192092896,1.5598559379577637,0.6410849094390869,0.0,1.0000001192092896,native_hattrick
307,High,42.33945846557617,44.792301177978516,0.9452396631240845,42.38248825073242,0.9989847540855408,0.9999998807907104,1.480306625366211,0.6755356192588806,0.0,0.9999998807907104,native_hattrick
308,High,42.11515426635742,44.715457916259766,0.9418477416038513,42.13404083251953,0.9995517730712891,1.000000238418579,1.4988256692886353,0.6671891808509827,0.0,1.000000238418579,native_hattrick
309,High,40.99149703979492,43.451019287109375,0.9433954954147339,40.995723724365234,0.9998968839645386,1.000000238418579,1.4601633548736572,0.684855043888092,0.0,1.000000238418579,native_hattrick
300,Medium,22.73581314086914,38.93954086303711,0.5838747024536133,24.141048431396484,0.9417906403541565,1.0,2.845003366470337,0.3514934182167053,0.0,1.0,native_hattrick
301,Medium,22.938459396362305,39.39498519897461,0.5822685360908508,24.536617279052734,0.9348664283752441,1.0000001192092896,2.89332914352417,0.3456226587295532,0.0,1.0000001192092896,native_hattrick
302,Medium,22.38037109375,39.15425491333008,0.5715948939323425,23.932201385498047,0.9351572394371033,1.000000238418579,2.869053602218628,0.3485470712184906,0.0,1.000000238418579,native_hattrick
303,Medium,22.671289443969727,38.827484130859375,0.5838979482650757,24.099384307861328,0.9407414197921753,1.0000001192092896,2.8596293926239014,0.34969571232795715,0.0,1.0000001192092896,native_hattrick
304,Medium,22.31947135925293,38.724239349365234,0.5763695240020752,23.875385284423828,0.9348318576812744,1.0,2.965085744857788,0.33725836873054504,0.0,1.0,native_hattrick
305,Medium,23.36197853088379,39.432865142822266,0.592449426651001,24.692981719970703,0.9460979104042053,1.000000238418579,2.912226915359497,0.3433799147605896,0.0,1.000000238418579,native_hattrick
306,Medium,24.31846809387207,41.16219711303711,0.590796172618866,25.98284149169922,0.9359433650970459,1.000000238418579,2.925845146179199,0.3417816758155823,0.0,1.000000238418579,native_hattrick
307,Medium,23.852689743041992,39.8289680480957,0.5988779067993164,25.16659927368164,0.9477915167808533,1.0,2.8182590007781982,0.35482898354530334,0.0,1.0,native_hattrick
308,Medium,23.501256942749023,40.23704147338867,0.5840702056884766,24.77655792236328,0.9485279321670532,1.000000238418579,2.8327744007110596,0.353010892868042,0.0,1.000000238418579,native_hattrick
309,Medium,22.753040313720703,38.992916107177734,0.5835172533988953,24.22842788696289,0.9391050934791565,1.000000238418579,2.7714881896972656,0.3608170747756958,0.0,1.000000238418579,native_hattrick
300,Low,5.360384941101074,9.434466361999512,0.568170428276062,4.823646545410156,1.1112723350524902,1.0,3.196647882461548,0.3128277063369751,0.0,1.0,native_hattrick
301,Low,5.161599159240723,9.307915687561035,0.5545386672019958,4.560791015625,1.1317332983016968,1.0000001192092896,3.220942497253418,0.3104681670665741,0.0,1.0000001192092896,native_hattrick
302,Low,4.875210762023926,8.690547943115234,0.5609785318374634,4.325172424316406,1.1271713972091675,1.000000238418579,3.1574950218200684,0.3167068362236023,0.0,1.000000238418579,native_hattrick
303,Low,5.217278957366943,9.383713722229004,0.5559929609298706,4.9544525146484375,1.0530484914779663,1.0000001192092896,3.151850700378418,0.31727394461631775,0.0,1.0000001192092896,native_hattrick
304,Low,4.867956638336182,8.6682710647583,0.5615833401679993,4.184906005859375,1.1632176637649536,1.0000001192092896,3.2852959632873535,0.30438661575317383,0.0,1.0000001192092896,native_hattrick
305,Low,5.478209972381592,9.511116981506348,0.5759796500205994,5.011665344238281,1.0930917263031006,1.000000238418579,3.2701427936553955,0.30579712986946106,0.0,1.000000238418579,native_hattrick
306,Low,5.133629322052002,9.710639953613281,0.528660237789154,4.148139953613281,1.2375737428665161,1.000000238418579,3.2237377166748047,0.31019899249076843,0.0,1.000000238418579,native_hattrick
307,Low,5.089104175567627,9.595913887023926,0.5303407311439514,4.817695617675781,1.0563358068466187,1.0,3.164654493331909,0.31599026918411255,0.0,1.0,native_hattrick
308,Low,4.267858028411865,8.755433082580566,0.48745253682136536,4.1991119384765625,1.0163716077804565,1.000000238418579,3.1902639865875244,0.3134537637233734,0.0,1.000000238418579,native_hattrick
309,Low,4.82821798324585,9.405943870544434,0.5133156180381775,4.621650695800781,1.0446956157684326,1.000000238418579,3.0805845260620117,0.3246138095855713,0.0,1.000000238418579,native_hattrick
310,High,40.503509521484375,43.14285659790039,0.9388231039047241,40.50818634033203,0.9998845458030701,1.0,1.5227627754211426,0.6567010879516602,0.0,1.0,native_hattrick
311,High,39.10525131225586,41.54063415527344,0.9413734674453735,39.161869049072266,0.9985542893409729,1.0000005960464478,1.4632622003555298,0.6834049224853516,0.0,1.0000005960464478,native_hattrick
312,High,39.513458251953125,41.99935531616211,0.940811038017273,39.557411193847656,0.9988889098167419,1.0000003576278687,1.4793155193328857,0.6759885549545288,0.0,1.0000003576278687,native_hattrick
313,High,41.043540954589844,43.55380630493164,0.9423640370368958,41.0483283996582,0.9998833537101746,0.9999998807907104,1.468467354774475,0.6809820532798767,0.0,0.9999998807907104,native_hattrick
314,High,39.68223190307617,42.508209228515625,0.9335192441940308,39.68603515625,0.9999041557312012,1.000000238418579,1.4737911224365234,0.6785223484039307,0.0,1.000000238418579,native_hattrick
315,High,39.511531829833984,41.865386962890625,0.9437756538391113,39.51164627075195,0.999997079372406,0.9999998211860657,1.4710904359817505,0.6797677278518677,0.0,0.9999998211860657,native_hattrick
316,High,39.39491653442383,41.50852966308594,0.9490800499916077,39.395259857177734,0.9999912977218628,1.000000238418579,1.4218429327011108,0.7033127546310425,0.0,1.000000238418579,native_hattrick
317,High,39.433311462402344,41.396854400634766,0.9525678157806396,39.43348693847656,0.9999955296516418,1.000000238418579,1.3968826532363892,0.7158799171447754,0.0,1.000000238418579,native_hattrick
318,High,38.339271545410156,40.38302230834961,0.9493908286094666,38.35395431518555,0.9996171593666077,1.000000238418579,1.4154366254806519,0.7064959406852722,0.0,1.000000238418579,native_hattrick
319,High,37.30648422241211,39.242549896240234,0.9506641030311584,37.30674743652344,0.9999929666519165,1.0,1.3982903957366943,0.715158998966217,0.0,1.0,native_hattrick
310,Medium,22.04275894165039,38.5251350402832,0.5721656680107117,23.50970458984375,0.9376025199890137,1.0000001192092896,2.910309076309204,0.3436061441898346,0.0,1.0000001192092896,native_hattrick
311,Medium,21.28754425048828,36.94644546508789,0.5761730074882507,22.465320587158203,0.9475736021995544,1.0000005960464478,2.7703301906585693,0.3609680235385895,0.0,1.0000005960464478,native_hattrick
312,Medium,21.360973358154297,37.47361755371094,0.5700269937515259,22.334922790527344,0.9563934206962585,1.0000003576278687,2.780215263366699,0.3596844971179962,0.0,1.0000003576278687,native_hattrick
313,Medium,21.84300422668457,38.48518753051758,0.5675691366195679,23.332660675048828,0.9361557364463806,1.0,2.784111976623535,0.3591809570789337,0.0,1.0,native_hattrick
314,Medium,22.053802490234375,38.40445327758789,0.5742511749267578,23.33648681640625,0.9450352191925049,1.000000238418579,2.8081014156341553,0.3561125695705414,0.0,1.000000238418579,native_hattrick
315,Medium,22.572978973388672,37.440425872802734,0.6029039025306702,23.583614349365234,0.9571467041969299,1.000000238418579,2.7906792163848877,0.35833579301834106,0.0,1.000000238418579,native_hattrick
316,Medium,22.428850173950195,37.59280014038086,0.5966262221336365,23.390182495117188,0.9589001536369324,1.000000238418579,2.722598075866699,0.3672963082790375,0.0,1.000000238418579,native_hattrick
317,Medium,22.654783248901367,37.048004150390625,0.6114980578422546,23.420005798339844,0.9673261046409607,1.0000005960464478,2.6366186141967773,0.3792738914489746,0.0,1.0000005960464478,native_hattrick
318,Medium,21.552326202392578,36.302581787109375,0.5936857461929321,22.978145599365234,0.9379488825798035,1.000000238418579,2.689220666885376,0.3718550205230713,0.0,1.000000238418579,native_hattrick
319,Medium,22.635326385498047,35.51871871948242,0.6372787952423096,23.44510269165039,0.9654607772827148,1.0,2.6419551372528076,0.3785075545310974,0.0,1.0,native_hattrick
