load,method,snapshot,class,admitted_traffic,demand,fulfill_ratio,oracle_admitted_traffic,norm_fulfill,raw_mlu,oracle_mlu,normalized_mlu,disabled_flow,admitted_capacity_ratio
1x,Hattrick,400,High,22.787403106689453,22.787403106689453,1.0,22.787403106689453,1.0,0.8670622110366821,0.8639376163482666,1.0036166906356812,0.0,0.8670622110366821
1x,Hattrick,401,High,23.049802780151367,23.049800872802734,1.0000001192092896,23.049802780151367,1.0,0.9251708984375,0.9230446219444275,1.0023036003112793,0.0,0.9251708984375
1x,Hattrick,402,High,23.258256912231445,23.258258819580078,0.9999999403953552,23.258258819580078,0.9999999403953552,0.8903618454933167,0.886952817440033,1.0038435459136963,0.0,0.8903618454933167
1x,Hattrick,403,High,22.56597900390625,22.56597900390625,1.0,22.565980911254883,0.9999999403953552,0.8871189951896667,0.8845015168190002,1.0029592514038086,0.0,0.8871189951896667
1x,Hattrick,404,High,22.348953247070312,22.348953247070312,1.0,22.348953247070312,1.0,0.8276232481002808,0.8244177103042603,1.0038882493972778,0.0,0.8276232481002808
1x,Hattrick,405,High,22.92848014831543,22.928478240966797,1.0000001192092896,22.92848014831543,1.0,0.9012905359268188,0.8831719756126404,1.0205153226852417,0.0,0.9012905359268188
1x,Hattrick,406,High,21.99001693725586,21.99001693725586,1.0,21.99001693725586,1.0,0.8540676832199097,0.8467602729797363,1.0086297988891602,0.0,0.8540676832199097
1x,Hattrick,407,High,21.730499267578125,21.730499267578125,1.0,21.730499267578125,1.0,0.7935652732849121,0.7898746132850647,1.0046724081039429,0.0,0.7935652732849121
1x,Hattrick,408,High,21.440902709960938,21.440902709960938,1.0,21.440902709960938,1.0,0.7705186009407043,0.7666321992874146,1.0050694942474365,0.0,0.7705186009407043
1x,Hattrick,409,High,21.866783142089844,21.866783142089844,1.0,21.866783142089844,1.0,0.7469949722290039,0.7463815808296204,1.000821828842163,0.0,0.7469949722290039
1x,Hattrick,410,High,22.46120834350586,22.46120834350586,1.0,22.46120834350586,1.0,0.7432091236114502,0.7366347908973694,1.0089248418807983,0.0,0.7432091236114502
1x,Hattrick,411,High,21.829435348510742,21.829435348510742,1.0,21.829435348510742,1.0,0.7330228090286255,0.7236093282699585,1.0130090713500977,0.0,0.7330228090286255
1x,Hattrick,412,High,21.346574783325195,21.346574783325195,1.0,21.346574783325195,1.0,0.772993266582489,0.7668132781982422,1.0080592632293701,0.0,0.772993266582489
1x,Hattrick,413,High,20.98731231689453,20.98731231689453,1.0,20.98731231689453,1.0,0.7703874111175537,0.7607133388519287,1.0127171277999878,0.0,0.7703874111175537
1x,Hattrick,414,High,20.790082931518555,20.790084838867188,0.9999998807907104,20.790082931518555,1.0,0.6979361772537231,0.6947180032730103,1.0046323537826538,0.0,0.6979361772537231
1x,Hattrick,415,High,20.635406494140625,20.635406494140625,1.0,20.635406494140625,1.0,0.7098656892776489,0.7039284706115723,1.0084344148635864,0.0,0.7098656892776489
1x,Hattrick,416,High,19.867136001586914,19.86713409423828,1.0000001192092896,19.867136001586914,1.0,0.6808504462242126,0.6780975461006165,1.0040597915649414,0.0,0.6808504462242126
1x,Hattrick,417,High,19.85200309753418,19.852001190185547,1.0000001192092896,19.852001190185547,1.0000001192092896,0.6684399247169495,0.6652754545211792,1.0047566890716553,0.0,0.6684399247169495
1x,Hattrick,418,High,19.395492553710938,19.395492553710938,1.0,19.395492553710938,1.0,0.7018826603889465,0.6893297433853149,1.0182102918624878,0.0,0.7018826603889465
1x,Hattrick,419,High,19.487457275390625,19.487455368041992,1.0000001192092896,19.487455368041992,1.0000001192092896,0.6747363805770874,0.6745350360870361,1.0002985000610352,0.0,0.6747363805770874
1x,Hattrick,420,High,19.11311149597168,19.113113403320312,0.9999998807907104,19.11311149597168,1.0,0.6012122631072998,0.5978143811225891,1.0056838989257812,0.0,0.6012122631072998
1x,Hattrick,421,High,19.02716827392578,19.02716827392578,1.0,19.02716636657715,1.0000001192092896,0.6111579537391663,0.606460690498352,1.007745385169983,0.0,0.6111579537391663
1x,Hattrick,422,High,18.301570892333984,18.301570892333984,1.0,18.301570892333984,1.0,0.6402249932289124,0.6333893537521362,1.0107921361923218,0.0,0.6402249932289124
1x,Hattrick,423,High,18.000041961669922,18.00004005432129,1.0000001192092896,18.000041961669922,1.0,0.638836681842804,0.6320581436157227,1.0107245445251465,0.0,0.638836681842804
1x,Hattrick,424,High,18.166576385498047,18.16657829284668,0.9999998807907104,18.166576385498047,1.0,0.6252889633178711,0.6152154207229614,1.0163739919662476,0.0,0.6252889633178711
1x,Hattrick,425,High,18.396526336669922,18.396526336669922,1.0,18.396526336669922,1.0,0.6230287551879883,0.6188188791275024,1.006803035736084,0.0,0.6230287551879883
1x,Hattrick,426,High,18.58797836303711,18.58797836303711,1.0,18.587980270385742,0.9999998807907104,0.6094878911972046,0.6088574528694153,1.001035451889038,0.0,0.6094878911972046
1x,Hattrick,427,High,18.771108627319336,18.77111053466797,0.9999998807907104,18.771108627319336,1.0,0.6355669498443604,0.6343424916267395,1.0019302368164062,0.0,0.6355669498443604
1x,Hattrick,428,High,17.64982032775879,17.649818420410156,1.0000001192092896,17.64982032775879,1.0,0.5979194641113281,0.5905070304870605,1.0125526189804077,0.0,0.5979194641113281
1x,Hattrick,429,High,17.748355865478516,17.748355865478516,1.0,17.748355865478516,1.0,0.5963806509971619,0.5848047137260437,1.0197945833206177,0.0,0.5963806509971619
1x,Hattrick,430,High,17.457191467285156,17.457191467285156,1.0,17.457191467285156,1.0,0.5851343274116516,0.5748332142829895,1.0179201364517212,0.0,0.5851343274116516
1x,Hattrick,431,High,17.63249397277832,17.63249397277832,1.0,17.63249397277832,1.0,0.6000144481658936,0.5963469743728638,1.0061498880386353,0.0,0.6000144481658936
1x,Hattrick,400,Medium,17.049421310424805,20.314132690429688,0.8392886519432068,17.358280181884766,0.9822068214416504,1.0,1.6070548295974731,0.6222562789916992,0.0,1.0
1x,Hattrick,401,Medium,17.577272415161133,20.692707061767578,0.8494428396224976,17.79720115661621,0.9876425266265869,1.0,1.7561781406402588,0.5694183111190796,0.0,1.0
1x,Hattrick,402,Medium,17.682281494140625,20.62570571899414,0.857293426990509,17.770145416259766,0.9950555562973022,1.0000001192092896,1.7157888412475586,0.5828223824501038,0.0,1.0000001192092896
1x,Hattrick,403,Medium,17.309932708740234,20.26148223876953,0.8543270826339722,17.464052200317383,0.9911750555038452,1.0,1.6906660795211792,0.5914828777313232,0.0,1.0
1x,Hattrick,404,Medium,16.87513542175293,20.038183212280273,0.8421489596366882,17.074764251708984,0.9883085489273071,1.0,1.5887492895126343,0.6294259428977966,0.0,1.0
1x,Hattrick,405,Medium,16.634647369384766,20.340991973876953,0.8177893757820129,16.839216232299805,0.987851619720459,1.000000238418579,1.6938190460205078,0.5903819799423218,0.0,1.000000238418579
1x,Hattrick,406,Medium,16.488075256347656,19.620054244995117,0.8403685092926025,16.634735107421875,0.9911835193634033,1.0,1.5896186828613281,0.629081666469574,0.0,1.0
1x,Hattrick,407,Medium,16.769493103027344,19.375877380371094,0.8654830455780029,16.926586151123047,0.9907191395759583,1.0,1.4872125387191772,0.6723988652229309,0.0,1.0
1x,Hattrick,408,Medium,16.867704391479492,19.136016845703125,0.8814637064933777,16.92023468017578,0.996895432472229,1.0000001192092896,1.4412646293640137,0.6938351988792419,0.0,1.0000001192092896
1x,Hattrick,409,Medium,16.851402282714844,19.549442291259766,0.86198890209198,17.153419494628906,0.982393205165863,1.0,1.4197570085525513,0.7043458819389343,0.0,1.0
1x,Hattrick,410,Medium,17.543197631835938,20.15336799621582,0.8704846501350403,17.790409088134766,0.9861042499542236,1.0000001192092896,1.3948960304260254,0.7168993949890137,0.0,1.0000001192092896
1x,Hattrick,411,Medium,17.48868179321289,19.520566940307617,0.8959105610847473,17.75742530822754,0.9848658442497253,1.0000001192092896,1.3901160955429077,0.7193644642829895,0.0,1.0000001192092896
1x,Hattrick,412,Medium,16.80422019958496,19.115365982055664,0.8790948987007141,16.925748825073242,0.9928199052810669,1.0000001192092896,1.4526896476745605,0.6883783340454102,0.0,1.0000001192092896
1x,Hattrick,413,Medium,16.797348022460938,18.853363037109375,0.8909470438957214,16.83151626586914,0.9979699850082397,1.0000001192092896,1.4534517526626587,0.6880174279212952,0.0,1.0000001192092896
1x,Hattrick,414,Medium,17.0330810546875,18.615798950195312,0.914979875087738,17.0334415435791,0.9999788403511047,1.0,1.3125311136245728,0.761886715888977,0.0,1.0
1x,Hattrick,415,Medium,16.767351150512695,18.435657501220703,0.9095065593719482,16.767627716064453,0.9999834895133972,1.0000001192092896,1.335301160812378,0.7488948106765747,0.0,1.0000001192092896
1x,Hattrick,416,Medium,16.160781860351562,17.617839813232422,0.9172964692115784,16.16090202331543,0.9999925494194031,1.0000001192092896,1.3035287857055664,0.767148494720459,0.0,1.0000001192092896
1x,Hattrick,417,Medium,16.74966049194336,18.145597457885742,0.9230701923370361,16.750038146972656,0.9999774694442749,1.0,1.2875111103057861,0.7766923308372498,0.0,1.0
1x,Hattrick,418,Medium,15.835797309875488,17.379417419433594,0.9111811518669128,15.83599853515625,0.9999873042106628,1.000000238418579,1.3215458393096924,0.7566897869110107,0.0,1.000000238418579
1x,Hattrick,419,Medium,16.237869262695312,17.533321380615234,0.9261148571968079,16.238027572631836,0.9999902248382568,1.0,1.2698533535003662,0.7874925136566162,0.0,1.0
1x,Hattrick,420,Medium,16.495853424072266,17.24298858642578,0.9566702246665955,16.49613380432129,0.999983012676239,1.0,1.1555944681167603,0.8653554916381836,0.0,1.0
1x,Hattrick,421,Medium,16.177581787109375,16.902986526489258,0.9570842385292053,16.17791175842285,0.9999796152114868,1.0,1.1510573625564575,0.8687664270401001,0.0,1.0
1x,Hattrick,422,Medium,15.537105560302734,16.498132705688477,0.9417493343353271,15.537788391113281,0.9999560713768005,1.0,1.2000715732574463,0.8332836031913757,0.0,1.0
1x,Hattrick,423,Medium,15.104696273803711,16.042163848876953,0.941562294960022,15.105125427246094,0.9999715685844421,1.0,1.195216417312622,0.8366685509681702,0.0,1.0
1x,Hattrick,424,Medium,15.578010559082031,16.390817642211914,0.9504108428955078,15.57828140258789,0.9999825954437256,1.0,1.1692787408828735,0.855228066444397,0.0,1.0
1x,Hattrick,425,Medium,15.728675842285156,16.500633239746094,0.9532164931297302,15.728897094726562,0.999985933303833,1.0,1.160778522491455,0.861490786075592,0.0,1.0
1x,Hattrick,426,Medium,15.9093017578125,16.760746002197266,0.9492000937461853,15.90953254699707,0.9999855160713196,1.0000001192092896,1.1773359775543213,0.849375307559967,0.0,1.0000001192092896
1x,Hattrick,427,Medium,15.616498947143555,16.601070404052734,0.9406923055648804,15.616724014282227,0.9999855756759644,1.0,1.2050719261169434,0.8298259973526001,0.0,1.0
1x,Hattrick,428,Medium,15.367829322814941,15.956419944763184,0.9631125926971436,15.368024826049805,0.9999873042106628,1.0,1.1225823163986206,0.8908032774925232,0.0,1.0
1x,Hattrick,429,Medium,15.314136505126953,15.830698013305664,0.9673696160316467,15.314380645751953,0.999984085559845,1.0,1.1075656414031982,0.9028810262680054,0.0,1.0
1x,Hattrick,430,Medium,15.266471862792969,15.71094036102295,0.9717096090316772,15.266754150390625,0.9999815225601196,1.0,1.092538833618164,0.9152992963790894,0.0,1.0
