snapshot,class,admitted_traffic,demand,fulfill_ratio,oracle_admitted_traffic,norm_fulfill,raw_mlu,oracle_mlu,normalized_mlu,disabled_flow,admitted_capacity_ratio
400,High,41.588478088378906,45.57480239868164,0.9125322699546814,41.773590087890625,0.9955686926841736,1.0000001192092896,1.7278752326965332,0.5787455439567566,0.0,1.0000001192092896
401,High,42.504608154296875,46.099605560302734,0.9220167398452759,42.62327575683594,0.9972158670425415,1.0000001192092896,1.846089243888855,0.5416857004165649,0.0,1.0000001192092896
402,High,43.041080474853516,46.51651382446289,0.925286054611206,43.18778991699219,0.9966030120849609,1.0000003576278687,1.773905634880066,0.5637280344963074,0.0,1.0000003576278687
403,High,41.66779708862305,45.1319580078125,0.9232437014579773,41.76030349731445,0.9977848529815674,1.0000003576278687,1.7690030336380005,0.5652903318405151,0.0,1.0000003576278687
404,High,40.97322082519531,44.697906494140625,0.9166697859764099,41.22837829589844,0.9938111305236816,1.0000001192092896,1.6488354206085205,0.6064887642860413,0.0,1.0000001192092896
405,High,41.70439910888672,45.85696029663086,0.9094453454017639,41.891109466552734,0.9955429434776306,1.0,1.7663439512252808,0.5661411285400391,0.0,1.0
406,High,40.30642318725586,43.98003387451172,0.9164709448814392,40.47027587890625,0.9959512948989868,1.000000238418579,1.6935205459594727,0.5904860496520996,0.0,1.000000238418579
407,High,40.30060577392578,43.46099853515625,0.9272820949554443,40.42744064331055,0.9968626499176025,0.9999998211860657,1.5797492265701294,0.6330117583274841,0.0,0.9999998211860657
408,High,40.179935455322266,42.881805419921875,0.9369926452636719,40.206241607666016,0.9993457198143005,1.000000238418579,1.533264398574829,0.652203381061554,0.0,1.000000238418579
409,High,40.59202575683594,43.73356628417969,0.928166389465332,40.71149444580078,0.9970654845237732,1.000000238418579,1.4927631616592407,0.6698988080024719,0.0,1.000000238418579
410,High,41.76797866821289,44.922420501708984,0.9297802448272705,41.8758430480957,0.9974241852760315,1.0,1.4732695817947388,0.6787623763084412,0.0,1.0
411,High,41.25437927246094,43.658870697021484,0.9449254870414734,41.347801208496094,0.9977405667304993,1.000000238418579,1.447218656539917,0.6909807324409485,0.0,1.000000238418579
412,High,40.04069137573242,42.69314956665039,0.9378715753555298,40.125614166259766,0.9978835582733154,1.0000001192092896,1.5336265563964844,0.6520493030548096,0.0,1.0000001192092896
413,High,39.51131057739258,41.97462463378906,0.9413142204284668,39.51884460449219,0.9998093843460083,1.0,1.5214266777038574,0.6572778224945068,0.0,1.0
414,High,39.59514236450195,41.58016586303711,0.9522603154182434,39.595436096191406,0.9999926090240479,1.000000238418579,1.3894360065460205,0.7197166681289673,0.0,1.000000238418579
415,High,39.23383712768555,41.27081298828125,0.9506436586380005,39.23397445678711,0.9999964833259583,1.000000238418579,1.4078569412231445,0.7102996110916138,0.0,1.000000238418579
416,High,38.01558303833008,39.73426818847656,0.9567455053329468,38.015647888183594,0.9999982714653015,1.0000001192092896,1.356195092201233,0.7373571395874023,0.0,1.0000001192092896
417,High,38.08061599731445,39.70400619506836,0.9591127038002014,38.080902099609375,0.9999924898147583,1.0000001192092896,1.3305509090423584,0.7515684962272644,0.0,1.0000001192092896
418,High,36.973365783691406,38.790985107421875,0.9531432390213013,36.973419189453125,0.9999985694885254,1.000000238418579,1.3786594867706299,0.7253424525260925,0.0,1.000000238418579
