snapshot,class,admitted_traffic,demand,fulfill_ratio,oracle_admitted_traffic,norm_fulfill,raw_mlu,oracle_mlu,normalized_mlu,disabled_flow,admitted_capacity_ratio
400,High,41.588478088378906,45.57480239868164,0.9125322699546814,41.773590087890625,0.9955686926841736,1.0000001192092896,1.7278752326965332,0.5787455439567566,0.0,1.0000001192092896
401,High,42.504608154296875,46.099605560302734,0.9220167398452759,42.62327575683594,0.9972158670425415,1.0000001192092896,1.846089243888855,0.5416857004165649,0.0,1.0000001192092896
402,High,43.041080474853516,46.51651382446289,0.925286054611206,43.18778991699219,0.9966030120849609,1.0000003576278687,1.773905634880066,0.5637280344963074,0.0,1.0000003576278687
403,High,41.66779708862305,45.1319580078125,0.9232437014579773,41.76030349731445,0.9977848529815674,1.0000003576278687,1.7690030336380005,0.5652903318405151,0.0,1.0000003576278687
400,Medium,23.242958068847656,40.628265380859375,0.572088360786438,24.583816528320312,0.9454576969146729,1.000000238418579,3.2141096591949463,0.3111282289028168,0.0,1.000000238418579
401,Medium,23.406211853027344,41.38541030883789,0.5655667185783386,24.992332458496094,0.9365357160568237,1.0000001192092896,3.5123562812805176,0.2847091853618622,0.0,1.0000001192092896
402,Medium,24.05351448059082,41.251407623291016,0.5830956101417542,25.460670471191406,0.9447321891784668,1.0000003576278687,3.431577682495117,0.29141125082969666,0.0,1.0000003576278687
403,Medium,22.728229522705078,40.52296447753906,0.5608728528022766,24.267559051513672,0.9365684390068054,1.0000003576278687,3.3813321590423584,0.2957415282726288,0.0,1.0000003576278687
400,Low,6.099028587341309,10.242644309997559,0.5954545140266418,5.4825439453125,1.1124449968338013,1.0000005960464478,3.549931049346924,0.28169578313827515,0.0,1.0000005960464478
401,Low,5.555702209472656,9.40978717803955,0.5904173851013184,4.672523498535156,1.1890153884887695,1.0000005960464478,3.9189224243164062,0.25517234206199646,0.0,1.0000005960464478
402,Low,5.839814186096191,9.626876831054688,0.6066156625747681,4.9878082275390625,1.1708177328109741,1.0000005960464478,3.8059747219085693,0.2627449333667755,0.0,1.0000005960464478
403,Low,5.812053680419922,9.709461212158203,0.5985969305038452,4.873176574707031,1.192662239074707,1.0000003576278687,3.715204954147339,0.2691642642021179,0.0,1.0000003576278687
