snapshot,edge_id,source,target,edge,capacity,oracle_high_load,hattrick_high_load,oracle_medium_load,hattrick_medium_load,high_excess,high_util_excess,medium_deficit,medium_util_deficit
400,0,0,2,0→2,10.0,7.042426655433474,4.342077732086182,1.4983994998385697,0.8675225973129272,-2.700348923347292,-0.2700348923347292,0.6308769025256424,0.06308769025256425
400,1,0,4,0→4,10.0,3.418128238206897,6.114837169647217,2.217235165181627,0.41025516390800476,2.6967089314403196,0.269670893144032,1.8069800012736223,0.18069800012736223
400,2,0,9,0→9,10.0,3.146105794817231,5.189975261688232,2.5612147044071207,1.5984255075454712,2.0438694668710014,0.20438694668710014,0.9627891968616495,0.09627891968616495
400,3,0,15,0→15,2.4000000953674316,1.2548800328804646,1.2341313362121582,0.9818217147230682,0.883855938911438,-0.020748696668306366,-0.008645289934928028,0.09796577581163024,0.04081907163284176
400,4,0,19,0→19,2.4000000953674316,2.400001049041748,2.399998188018799,0.0,1.9073484054388246e-06,-2.86102294921875e-06,-1.1920928481382988e-06,-1.9073484054388246e-06,-7.947284706865048e-07
400,5,1,6,1→6,2.4000000953674316,0.7652369963648198,0.136832594871521,0.6036377199002345,0.11261281371116638,-0.6284044014932988,-0.26183515688448017,0.49102490618906813,0.20459370278228842
400,6,1,13,1→13,0.1550000011920929,0.04593800019824812,0.04626433178782463,0.10357677751403571,0.05211388319730759,0.00032633158957651176,0.002105365077849813,0.051462894316728125,0.3320186704576195
400,7,1,14,1→14,2.4000000953674316,0.04442954760202156,0.2282346785068512,0.06576645514724078,1.640943169593811,0.18380513090482964,0.0765854681671126,-1.5751767144465703,-0.6563236049394474
400,8,2,0,2→0,10.0,4.362182598888467,4.993156433105469,1.7362795657118113,1.2398960590362549,0.6309738342170021,0.06309738342170021,0.4963835066755564,0.04963835066755564
400,9,2,6,2→6,10.0,8.617338200637505,4.708587169647217,1.3025175278041843,1.2570040225982666,-3.908751030990288,-0.39087510309902884,0.04551350520591768,0.0045513505205917685
400,10,2,12,2→12,10.0,1.37644782369739,1.68490731716156,1.3243416112292152,0.8126383423805237,0.30845949346417,0.030845949346417,0.5117032688486916,0.05117032688486915
400,11,3,4,3→4,10.0,0.29547700344073746,0.6297963857650757,2.9594279620741517,1.4344109296798706,0.3343193823243382,0.033431938232433824,1.525017032394281,0.1525017032394281
400,12,3,16,3→16,2.4000000953674316,1.9515601238631106,0.1039251834154129,0.04677079316388699,1.5247341394424438,-1.8476349404476977,-0.7698478612622018,-1.4779633462785569,-0.6158180364789885
400,13,3,20,3→20,2.4000000953674316,2.203823262464539,0.09531141817569733,0.10509061656466656,1.1292093992233276,-2.1085118442888415,-0.8785465668767133,-1.024118782658661,-0.4267161424849327
400,14,4,0,4→0,10.0,2.638516172418349,4.2911481857299805,2.0363738391042716,1.4390276670455933,1.6526320133116315,0.16526320133116315,0.5973461720586783,0.05973461720586783
400,15,4,3,4→3,10.0,4.206344128479451,0.34270477294921875,0.236310582698934,1.352423071861267,-3.863639355530232,-0.3863639355530232,-1.116112489162333,-0.11161124891623331
400,16,4,6,4→6,10.0,3.8387691668758634,3.2006030082702637,1.4808291179174375,0.6986290812492371,-0.6381661586055998,-0.06381661586055998,0.7822000366682005,0.07822000366682005
400,17,4,7,4→7,2.4000000953674316,0.0452428122080164,0.7616877555847168,0.7245724030653946,0.7091996073722839,0.7164449433767004,0.29851871454489054,0.015372795693110675,0.006405331284271117
400,18,4,10,4→10,2.4000000953674316,1.3175959564587174,0.07800281047821045,1.0723868390426787,0.12193319201469421,-1.239593145980507,-0.5164971236347928,0.9504536470279845,0.39602233719181307
400,19,4,12,4→12,10.0,3.0989484334199915,1.270704984664917,0.3711740227931841,0.5847072005271912,-1.8282434487550745,-0.18282434487550744,-0.21353317773400704,-0.021353317773400705
400,20,4,14,4→14,10.0,4.186261659582669,2.7785162925720215,0.6729394055000739,1.5140910148620605,-1.407745367010648,-0.1407745367010648,-0.8411516093619866,-0.08411516093619867
400,21,4,18,4→18,10.0,5.725901895557399,7.034555912017822,4.154761778563625,0.3552221655845642,1.308654016460423,0.1308654016460423,3.7995396129790606,0.37995396129790604
400,22,5,6,5→6,10.0,0.20225401300558588,0.9331437945365906,0.4304282082196096,0.6578848361968994,0.7308897815310047,0.07308897815310048,-0.22745662797728983,-0.022745662797728983
400,23,5,12,5→12,10.0,0.20726760949764866,0.30020442605018616,0.1867450678619207,0.2586757242679596,0.0929368165525375,0.009293681655253749,-0.0719306564060389,-0.0071930656406038905
400,24,5,17,5→17,2.4000000953674316,0.9767470707035955,0.4528580605983734,0.8829111107594372,0.39090895652770996,-0.523889010105222,-0.21828707886989332,0.4920021542317272,0.20500088945054953
400,25,6,1,6→1,2.4000000953674316,0.18348906263031495,0.1562681794166565,0.15437543973939682,1.5471607446670532,-0.027220883213658453,-0.011342034221665742,-1.3927853049276564,-0.5803271873263929
400,26,6,2,6→2,10.0,0.6895191111341319,1.6739293336868286,0.5612133108994612,0.6328769326210022,0.9844102225526967,0.09844102225526967,-0.07166362172154095,-0.007166362172154095
400,27,6,4,6→4,10.0,6.441342137816704,3.5443806648254395,2.7243229335462047,1.2375177145004272,-2.896961472991265,-0.2896961472991265,1.4868052190457774,0.14868052190457776
400,28,6,5,6→5,10.0,0.9021728893908403,0.20718759298324585,1.0431527546135158,0.16612398624420166,-0.6949852964075944,-0.06949852964075945,0.8770287683693141,0.08770287683693141
