snapshot,edges,high_overuse_edges,medium_deficit_on_high_overused_edges,conditional_fraction,material_both_edges,pearson_all_edges
459,72,29,22,0.7586206896551724,14,0.3971455125803104
473,72,23,18,0.782608695652174,14,0.2787908418410502
476,72,22,19,0.8636363636363636,14,0.49984368545582464
